Fecha_Grafico,Anio,Max_Dia,Min_Dia
2000-03-31 12:25:49.525132,2026,33.4,19.4
2000-04-01 12:25:49.525132,2026,33.3,17.9
2000-04-02 12:25:49.525132,2026,32.7,17.7
2000-04-03 12:25:49.525132,2026,32.4,18.2
2000-04-04 12:25:49.525132,2026,33.3,18.7
2000-04-05 12:25:49.525132,2026,31.8,18.5
2000-04-06 12:25:49.525132,2026,30.8,17.7
2000-04-07 12:25:49.525132,2026,30.8,19.2
2000-04-08 12:25:49.525132,2026,31.6,18.2
2000-04-09 12:25:49.525132,2026,31.3,19.4
2000-04-10 12:25:49.525132,2026,32.3,18.3
2000-04-11 12:25:49.525132,2026,33.1,17.4
2000-04-12 12:25:49.525132,2026,32.4,18.2
2000-04-13 12:25:49.525132,2026,29.6,16.6
2000-04-14 12:25:49.525132,2026,30.4,17.7
2000-04-15 12:25:49.525132,2026,31.7,17.6
2000-04-16 12:25:49.525132,2026,30.4,18.7
2000-04-17 12:25:49.525132,2026,30.9,18.1
2000-04-18 12:25:49.525132,2026,31.1,19.9
2000-04-19 12:25:49.525132,2026,30.3,19.1
2000-04-20 12:25:49.525132,2026,32.4,17.3
